"Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation."
"For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score"


Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
"=""2023-08-14 18:54:48.710""","=""2023-08-14 19:27:35.887""",12.76,10.52,45999.00,221001.00,0.21,14000.00,145002.00,0.10,0.00,19000.00,0.00,0.00,0.00
"=""2023-08-14 19:56:52.653""","=""2023-08-14 20:13:57.745""",8.31,8.31,166000.00,322000.00,0.52,7000.00,134000.00,0.05,0.00,25000.00,0.00,0.00,0.00
"=""2023-08-15 00:05:46.683""","=""2023-08-15 00:17:28.014""",0.97,0.97,0.00,0.00,0.00,2000.00,38001.00,0.05,0.00,9000.00,0.00,0.00,0.00
"=""2023-08-15 02:05:35.862""","=""2023-08-15 02:32:44.365""",23.35,17.48,151000.00,447000.00,0.34,10000.00,162000.00,0.06,0.00,24000.00,0.00,0.00,0.00
"=""2023-08-15 03:57:40.908""","=""2023-08-15 04:25:19.226""",15.83,12.55,8000.00,38000.00,0.21,5000.00,143998.00,0.03,4000.00,209003.00,0.02,0.00,0.00
"=""2023-08-18 04:01:50.902""","=""2023-08-18 04:06:19.360""",0.68,0.68,0.00,0.00,0.00,0.00,45999.00,0.00,0.00,7000.00,0.00,0.00,0.00
"=""2023-08-18 04:18:41.685""","=""2023-08-18 04:24:51.554""",0.69,0.69,0.00,0.00,0.00,0.00,23998.00,0.00,0.00,9000.00,0.00,0.00,0.00
"=""2023-08-22 02:30:40.763""","=""2023-08-22 02:34:55.064""",1.40,1.40,0.00,0.00,0.00,0.00,53001.00,0.00,0.00,7999.00,0.00,0.00,0.00
"=""2023-08-22 02:41:12.031""","=""2023-08-22 02:46:01.734""",1.41,1.41,0.00,0.00,0.00,0.00,19000.00,0.00,0.00,5000.00,0.00,0.00,0.00
"=""2023-08-22 18:00:36.444""","=""2023-08-22 19:06:37.310""",58.69,26.92,54999.00,344001.00,0.16,10001.00,402006.00,0.02,0.00,198002.00,0.00,0.00,0.00
"=""2023-08-22 19:11:35.823""","=""2023-08-22 19:53:30.649""",25.51,14.52,130997.00,337997.00,0.39,3000.00,145998.00,0.02,0.00,21002.00,0.00,0.00,0.00
"=""2023-08-22 20:14:33.747""","=""2023-08-22 20:32:32.097""",1.54,1.54,0.00,0.00,0.00,1000.00,82002.00,0.01,0.00,0.00,0.00,0.00,0.00
"=""2023-08-22 20:42:07.516""","=""2023-08-22 20:45:08.076""",0.68,0.68,0.00,0.00,0.00,0.00,15000.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-08-22 20:58:32.332""","=""2023-08-22 21:16:49.151""",0.45,0.45,0.00,0.00,0.00,0.00,8000.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-08-22 21:54:42.948""","=""2023-08-22 21:56:48.091""",0.28,0.28,0.00,0.00,0.00,0.00,10001.00,0.00,0.00,3001.00,0.00,0.00,0.00
"=""2023-08-22 21:59:23.668""","=""2023-08-22 22:21:38.608""",0.82,0.82,0.00,0.00,0.00,0.00,70001.00,0.00,0.00,4000.00,0.00,0.00,0.00
"=""2023-08-22 23:03:03.089""","=""2023-08-22 23:19:25.435""",0.48,0.48,0.00,0.00,0.00,0.00,21999.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-08-22 23:25:03.546""","=""2023-08-22 23:33:33.171""",1.11,1.11,0.00,0.00,0.00,1000.00,40003.00,0.02,0.00,4000.00,0.00,0.00,0.00
"=""2023-08-22 23:35:08.322""","=""2023-08-22 23:38:09.882""",0.36,0.36,0.00,0.00,0.00,0.00,10999.00,0.00,0.00,1000.00,0.00,0.00,0.00
"=""2023-08-22 23:47:27.553""","=""2023-08-22 23:55:35.224""",0.31,0.31,0.00,0.00,0.00,0.00,15999.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-08-23 00:20:37.093""","=""2023-08-23 00:59:57.247""",4.87,4.87,0.00,0.00,0.00,0.00,175998.00,0.00,0.00,18000.00,0.00,1.00,0.00
"=""2023-08-23 02:12:21.820""","=""2023-08-23 02:27:53.254""",1.22,1.22,0.00,0.00,0.00,0.00,52999.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-08-23 02:57:20.331""","=""2023-08-23 03:16:39.521""",0.71,0.71,0.00,0.00,0.00,0.00,13999.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-08-23 03:26:55.551""","=""2023-08-23 03:56:12.720""",8.53,8.27,16000.00,95000.00,0.17,0.00,84996.00,0.00,0.00,5999.00,0.00,0.00,0.00
"=""2023-08-23 04:19:47.523""","=""2023-08-23 05:23:34.034""",59.60,59.46,394000.00,1921998.00,0.20,2999.00,109001.00,0.03,0.00,26000.00,0.00,0.00,0.00
"=""2023-08-23 06:13:26.500""","=""2023-08-23 06:15:45.759""",0.29,0.29,0.00,0.00,0.00,0.00,15999.00,0.00,0.00,8000.00,0.00,0.00,0.00
"=""2023-08-23 06:18:56.861""","=""2023-08-23 06:52:36.389""",15.93,15.35,0.00,0.00,0.00,7001.00,81000.00,0.09,1000.00,127996.00,0.01,0.00,0.00
"=""2023-08-26 11:45:17.385""","=""2023-08-26 11:52:27.805""",0.70,0.70,0.00,0.00,0.00,0.00,158000.00,0.00,0.00,1000.00,0.00,0.00,0.00
"=""2023-08-26 11:54:12.153""","=""2023-08-26 12:54:11.659""",47.52,23.46,15999.00,117999.00,0.14,13001.00,429004.00,0.03,0.00,51998.00,0.00,0.00,0.00
"=""2023-08-26 13:14:08.346""","=""2023-08-26 13:31:59.727""",5.01,3.97,0.00,10000.00,0.00,0.00,30999.00,0.00,0.00,2000.00,0.00,0.00,0.00
"=""2023-08-26 13:48:36.511""","=""2023-08-26 14:42:49.634""",39.69,9.39,8000.00,76999.00,0.10,3000.00,71003.00,0.04,0.00,6000.00,0.00,0.00,0.00
"=""2023-08-26 16:13:47.956""","=""2023-08-26 16:35:33.308""",6.03,5.35,0.00,0.00,0.00,2000.00,96002.00,0.02,1001.00,6001.00,0.17,0.00,0.00
"=""2023-08-26 16:46:28.188""","=""2023-08-26 16:56:25.811""",0.51,0.51,0.00,0.00,0.00,0.00,19000.00,0.00,0.00,1000.00,0.00,0.00,0.00
"=""2023-08-26 17:08:51.194""","=""2023-08-26 17:17:48.368""",0.55,0.55,0.00,0.00,0.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00
"=""2023-08-26 17:20:17.722""","=""2023-08-26 17:41:03.228""",1.85,1.85,0.00,0.00,0.00,1000.00,39000.00,0.03,0.00,3000.00,0.00,0.00,0.00
