Disclaimer: This file contains trip information collected to produce the Safety Score. Each record represents a trip. Trips on service mode or less than 0.1 miles in length are excluded as they are not included in the Safety Score calculation.,,,,,,,,,,,,,,
For more information about the Safety Score please refer to the support page: https://www.tesla.com/support/safety-score,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start time of trip (UTC),End time of trip (UTC),Miles driven on the trip,Miles driven on the trip while not using Autopilot,Seconds following with 1 second excluding Autopilot driving,Seconds following within 3 seconds excluding Autopilot driving,Unsafe following percent,Seconds experiencing longitudinal acceleration less than of -0.3g excluding Autopilot driving,Seconds experiencing longitudinal acceleration less than of -0.1g excluding Autopilot driving,Hard braking percent,Seconds experiencing lateral acceleration greater than 0.4g or less than -0.4g excluding Autopilot driving,Seconds experiencing lateral acceleration greater than 0.2g or less than -0.2g excluding Autopilot driving,Aggressive turning percent (AggressiveTurningNumerator / AggressiveTurningDenominator),Count of Forward Collision Warnings on the trip excluding warnings occurring while driving on Autopilot,Count of Forced Autopilot Disengagements on the trip
2023-08-22 02:41:12.031,2023-08-22 02:46:01.734,1.41,1.41,0,0,0,0,19000,0,0,5000,0,0,0
2023-08-22 18:00:36.444,2023-08-22 19:06:37.310,58.69,26.92,54999,344001,0.16,10001,402006,0.02,0,198002,0,0,0
2023-08-22 19:11:35.823,2023-08-22 19:53:30.649,25.51,14.52,130997,337997,0.39,3000,145998,0.02,0,21002,0,0,0
2023-08-22 20:14:33.747,2023-08-22 20:32:32.097,1.54,1.54,0,0,0,1000,82002,0.01,0,0,0,0,0
2023-08-22 20:42:07.516,2023-08-22 20:45:08.076,0.68,0.68,0,0,0,0,15000,0,0,2000,0,0,0
2023-08-22 20:58:32.332,2023-08-22 21:16:49.151,0.45,0.45,0,0,0,0,8000,0,0,2000,0,0,0
2023-08-22 21:54:42.948,2023-08-22 21:56:48.091,0.28,0.28,0,0,0,0,10001,0,0,3001,0,0,0
2023-08-22 21:59:23.668,2023-08-22 22:21:38.608,0.82,0.82,0,0,0,0,70001,0,0,4000,0,0,0
2023-08-22 23:03:03.089,2023-08-22 23:19:25.435,0.48,0.48,0,0,0,0,21999,0,0,2000,0,0,0
2023-08-22 23:25:03.546,2023-08-22 23:33:33.171,1.11,1.11,0,0,0,1000,40003,0.02,0,4000,0,0,0
2023-08-22 23:35:08.322,2023-08-22 23:38:09.882,0.36,0.36,0,0,0,0,10999,0,0,1000,0,0,0
2023-08-22 23:47:27.553,2023-08-22 23:55:35.224,0.31,0.31,0,0,0,0,15999,0,0,0,0,0,0
2023-08-23 00:20:37.093,2023-08-23 00:59:57.247,4.87,4.87,0,0,0,0,175998,0,0,18000,0,1,0
2023-08-23 02:12:21.820,2023-08-23 02:27:53.254,1.22,1.22,0,0,0,0,52999,0,0,0,0,0,0
2023-08-23 02:57:20.331,2023-08-23 03:16:39.521,0.71,0.71,0,0,0,0,13999,0,0,0,0,0,0
2023-08-23 03:26:55.551,2023-08-23 03:56:12.720,8.53,8.27,16000,95000,0.17,0,84996,0,0,5999,0,0,0
2023-08-23 04:19:47.523,2023-08-23 05:23:34.034,59.6,59.46,394000,1921998,0.2,2999,109001,0.03,0,26000,0,0,0
2023-08-23 06:13:26.500,2023-08-23 06:15:45.759,0.29,0.29,0,0,0,0,15999,0,0,8000,0,0,0
2023-08-23 06:18:56.861,2023-08-23 06:52:36.389,15.93,15.35,0,0,0,7001,81000,0.09,1000,127996,0.01,0,0
2023-08-26 11:45:17.385,2023-08-26 11:52:27.805,0.7,0.7,0,0,0,0,158000,0,0,1000,0,0,0
2023-08-26 11:54:12.153,2023-08-26 12:54:11.659,47.52,23.46,15999,117999,0.14,13001,429004,0.03,0,51998,0,0,0
2023-08-26 13:14:08.346,2023-08-26 13:31:59.727,5.01,3.97,0,10000,0,0,30999,0,0,2000,0,0,0
2023-08-26 13:48:36.511,2023-08-26 14:42:49.634,39.69,9.39,8000,76999,0.1,3000,71003,0.04,0,6000,0,0,0
2023-08-26 16:13:47.956,2023-08-26 16:35:33.308,6.03,5.35,0,0,0,2000,96002,0.02,1001,6001,0.17,0,0
2023-08-26 16:46:28.188,2023-08-26 16:56:25.811,0.51,0.51,0,0,0,0,19000,0,0,1000,0,0,0
2023-08-26 17:08:51.194,2023-08-26 17:17:48.368,0.55,0.55,0,0,0,0,20000,0,0,0,0,0,0
2023-08-26 17:20:17.722,2023-08-26 17:41:03.228,1.85,1.85,0,0,0,1000,39000,0.03,0,3000,0,0,0
2023-08-26 18:06:39.747,2023-08-26 18:08:43.602,0.17,0.17,0,0,0,0,8000,0,0,2000,0,0,0
2023-08-26 18:37:30.376,2023-08-26 18:40:43.335,0.22,0.22,0,0,0,0,7000,0,0,0,0,0,0
2023-08-26 18:42:34.332,2023-08-26 19:00:52.781,7.44,7.44,0,69000,0,4999,133000,0.04,999,13999,0.07,0,0
2023-08-28 03:58:53.848,2023-08-28 04:21:12.808,2.82,2.82,0,0,0,3000,54001,0.06,0,6000,0,0,0
2023-08-28 05:44:53.124,2023-08-28 05:53:43.829,2.28,2.28,0,0,0,3000,32999,0.09,0,2001,0,0,0
2023-08-30 19:45:30.999,2023-08-30 20:31:01.364,45.6,11.48,17000,181000,0.09,5000,106000,0.05,1000,33000,0.03,0,0
2023-08-30 21:09:12.162,2023-08-30 21:40:06.803,29.24,2.23,5000,29000,0.17,2000,67000,0.03,0,11999,0,0,0
2023-08-30 21:54:12.749,2023-08-30 21:55:51.951,0.11,0.11,0,0,0,0,7999,0,0,0,0,0,0
2023-08-30 22:10:34.206,2023-08-30 23:27:38.938,51.09,19.3,65001,301001,0.22,4999,257007,0.02,0,18000,0,2,0
2023-08-30 23:28:54.643,2023-08-30 23:47:10.690,1.5,1.5,0,0,0,0,47000,0,0,10000,0,0,0
2023-08-30 23:52:44.400,2023-08-31 00:06:30.839,0.43,0.43,0,0,0,0,29000,0,0,3000,0,0,0
2023-08-31 00:31:12.694,2023-08-31 00:44:43.676,2.07,2.07,0,0,0,0,81000,0,0,9000,0,0,0
2023-08-31 00:49:58.257,2023-08-31 01:21:20.433,1.78,1.78,0,0,0,0,726003,0,0,7000,0,1,0
2023-08-31 01:29:09.945,2023-08-31 01:46:36.195,1.6,1.6,0,0,0,0,114000,0,0,5000,0,0,0
2023-08-31 02:25:34.587,2023-08-31 02:40:01.529,1.58,1.58,0,0,0,1000,97000,0.01,0,5000,0,0,0
2023-08-31 02:51:43.704,2023-08-31 04:09:45.726,65.38,22.16,198001,574001,0.34,0,123000,0,0,17000,0,0,0
2023-08-31 04:52:38.683,2023-08-31 05:49:28.579,60.47,9.83,31001,108001,0.29,0,89000,0,0,22000,0,0,0
2023-08-31 06:12:35.733,2023-08-31 06:23:48.058,2.34,2.34,0,0,0,0,50000,0,0,5000,0,0,0
2023-08-31 22:09:13.825,2023-08-31 22:13:21.237,0.55,0.55,0,0,0,0,19000,0,0,0,0,0,0
2023-08-31 22:15:23.693,2023-08-31 22:18:44.548,0.51,0.51,0,0,0,0,14002,0,0,2000,0,0,0
2023-08-31 23:50:06.936,2023-08-31 23:54:20.367,0.33,0.33,0,0,0,0,13000,0,0,0,0,0,0
2023-09-01 00:33:18.430,2023-09-01 00:48:24.944,1.22,1.22,0,0,0,0,16000,0,0,0,0,0,0
2023-09-01 04:09:04.262,2023-09-01 04:14:06.018,0.67,0.67,0,0,0,0,17000,0,0,0,0,0,0
2023-09-01 19:20:23.625,2023-09-01 19:32:31.704,1.03,1.03,0,0,0,0,13000,0,0,0,0,0,0
2023-09-01 19:50:40.398,2023-09-01 20:10:18.497,0.66,0.66,0,0,0,0,8000,0,0,0,0,0,0
2023-09-01 23:31:07.570,2023-09-02 00:01:16.393,9.84,9.06,0,0,0,2000,81000,0.02,0,3000,0,0,0
2023-09-02 03:37:12.388,2023-09-02 03:56:59.338,6.39,5.24,0,0,0,0,63998,0,0,1000,0,0,0
2023-09-03 16:19:37.339,2023-09-03 16:30:29.011,1.25,1.25,0,0,0,0,41999,0,0,4000,0,0,0
2023-09-04 05:12:12.126,2023-09-04 06:40:01.259,1.61,0.9,0,0,0,0,33000,0,0,0,0,0,0
2023-09-04 11:25:51.501,2023-09-04 11:40:10.431,1.57,0.57,0,0,0,0,9000,0,0,2000,0,0,0
2023-09-04 12:05:31.036,2023-09-04 12:37:38.554,1.93,0.75,0,0,0,0,21000,0,0,1000,0,0,0
2023-09-05 04:32:51.347,2023-09-05 04:51:07.445,2.53,2.53,0,0,0,0,40001,0,0,7000,0,0,0
2023-09-05 05:08:44.625,2023-09-05 05:17:37.593,2.96,2.68,0,0,0,1000,37001,0.03,0,7000,0,0,0
2023-09-06 02:40:56.542,2023-09-06 03:30:06.754,2.76,1.81,0,0,0,0,24000,0,0,14000,0,0,0
2023-09-06 05:30:19.336,2023-09-06 05:47:35.500,0.15,0.15,0,0,0,0,7000,0,0,1000,0,0,0
2023-09-06 06:19:35.430,2023-09-06 06:40:03.797,7.41,3.39,0,0,0,1000,45999,0.02,3000,24000,0.12,0,0
2023-09-06 06:40:41.130,2023-09-06 07:07:40.309,9.04,4.13,0,0,0,6000,78000,0.08,0,20000,0,0,0
2023-09-06 09:20:25.055,2023-09-06 09:26:02.008,1.38,1.04,0,0,0,0,33000,0,0,5000,0,0,0
2023-09-06 10:14:42.199,2023-09-06 10:23:45.262,1.83,1.83,0,0,0,0,55997,0,0,8000,0,0,0
2023-09-06 19:41:24.721,2023-09-06 19:53:07.029,1.13,1.13,0,0,0,0,27001,0,0,1000,0,0,0
2023-09-06 19:59:26.776,2023-09-06 21:02:53.219,50.71,34.38,294000,929000,0.32,6000,197000,0.03,0,33000,0,0,1
2023-09-06 21:15:07.399,2023-09-06 22:38:49.659,62.84,21.26,187001,556001,0.34,0,181000,0,0,7001,0,1,0
2023-09-06 23:18:58.430,2023-09-06 23:27:10.109,1.18,1.18,0,0,0,0,41000,0,0,0,0,1,0
2023-09-06 23:28:20.722,2023-09-06 23:44:41.143,0.84,0.84,0,0,0,0,49000,0,0,2000,0,0,0
2023-09-07 02:19:46.388,2023-09-07 03:44:44.217,9.82,9.82,58000,186000,0.31,6000,227001,0.03,0,26999,0,0,0
2023-09-07 05:19:55.233,2023-09-07 05:24:47.636,0.29,0.29,0,0,0,1000,11000,0.09,0,3000,0,0,0
2023-09-07 05:27:09.091,2023-09-07 05:33:07.858,0.34,0.34,0,0,0,1000,11000,0.09,0,0,0,0,0
2023-09-07 05:41:44.515,2023-09-07 05:49:53.234,0.24,0.24,0,0,0,0,6000,0,0,0,0,0,0
2023-09-07 06:35:39.316,2023-09-07 07:05:46.159,0.3,0.3,0,0,0,0,8000,0,0,1000,0,0,0
2023-09-07 07:10:00.166,2023-09-07 07:34:47.048,18.19,10.27,14000,99999,0.14,0,107997,0,0,19001,0,0,0
2023-09-07 09:51:36.832,2023-09-07 10:11:07.069,0.31,0.31,0,0,0,0,18001,0,0,5000,0,0,0
2023-09-07 10:48:39.260,2023-09-07 11:05:08.694,0.93,0.67,0,0,0,0,14000,0,0,0,0,0,0
2023-09-07 11:25:34.455,2023-09-07 11:44:31.695,13.32,4.84,7000,68000,0.1,3000,40001,0.07,0,7000,0,0,0
2023-09-07 11:46:48.850,2023-09-07 12:42:29.093,46.84,14.62,25000,224000,0.11,0,63001,0,0,2000,0,0,0
2023-09-07 18:15:44.311,2023-09-07 19:07:36.085,43.98,18.27,48000,193001,0.25,6000,159000,0.04,0,21000,0,0,0
2023-09-07 19:11:50.798,2023-09-07 19:31:15.150,2.37,2.37,0,0,0,1000,56000,0.02,0,10000,0,0,0
2023-09-09 06:12:07.663,2023-09-09 06:18:07.722,1.37,1.37,0,0,0,1000,36001,0.03,0,6000,0,0,0
2023-09-09 07:59:11.339,2023-09-09 08:37:19.991,7.49,6,0,0,0,1000,116001,0.01,0,11000,0,0,0
2023-09-10 11:19:02.867,2023-09-10 11:29:11.339,2,2,0,0,0,0,28999,0,0,7999,0,0,0
